0.000000, 8572.042969
1.100000, 88200.000000
2.200000, 88200.000000
3.300000, 6388.217285
4.400000, 8690.874023
5.500000, 6160.320312
6.600000, 4564.644043
7.700000, 3563.283203
8.800000, 2842.422119
9.900000, 2327.292969
11.000000, 1937.061157
12.100000, 1639.595947
13.200000, 1406.140381
14.300000, 1218.740356
15.400000, 1065.998779
16.500000, 939.827759
17.600000, 834.665771
18.700001, 747.637390
19.799999, 336.494446
20.900000, 639.590759
22.000000, 580.270752
23.100000, 505.595337
24.200001, 483.851501
25.299999, 426.166931
26.400000, 409.211090
27.500000, 364.267426
28.600000, 350.834656
29.700001, 326.324463
30.799999, 304.157532
31.900000, 284.246307
33.000000, 266.125183
34.099998, 242.145065
35.200001, 234.845703
36.299999, 7506.900391
37.400002, 7316.689453
38.500000, 191.928741
39.599998, 88200.000000
